130.703, 147.716, 167.846, 170.426, 177.479, 82.2686, 52.8857, 53.8623, 43.4072, 28.291, 30.7422, 28.9336, 42.3066, 140.801, 134.4, 123.612, 150.542, 151.925, 146.954, 142.263, 
128.89, 172.221, 184.432, 185.232, 161.938, 53.5908, 37.9473, 74.8428, 85.8477, 96.7559, 100.211, 103.363, 97.9424, 131.562, 103.875, 94.6865, 125.969, 161.159, 155.194, 156.447, 
145.559, 178.194, 185.75, 186.227, 150.082, 83.6104, 109.479, 137.379, 70.7637, 96.6758, 129.787, 114.172, 120.154, 94.1191, 99.4414, 57.9307, 128.665, 161.808, 151.749, 160.945, 
105.067, 153.856, 155.002, 184.387, 138.082, 85.9785, 121.143, 110.573, 71.1328, 53.4834, 101.393, 45.9521, 108.432, 72.8896, 104.838, 49.6201, 96.7266, 144.605, 152.382, 161.448, 
126.797, 139.315, 163.388, 180.818, 129.393, 79.7725, 119.988, 93.0957, 59.0225, 58.0498, 70.4678, 45.9375, 74.8281, 62.7607, 96.9492, 44.5947, 89.3311, 113.975, 151.622, 157.961, 
151.723, 133.677, 145.845, 177.795, 116.134, 101.104, 105.849, 48.4785, 55.3633, 38.1807, 42.082, 60.6611, 65.3574, 60.0273, 96.207, 31.7207, 53.8223, 77.8525, 122.351, 155.584, 
148.913, 123.59, 134.224, 172.156, 106.21, 92.2412, 83.9316, 11.3574, 11.9775, 7.99316, 5.57129, 34.2314, 56.0166, 59.4082, 96.5244, 37.3291, 39.5225, 59.7539, 143.978, 152.782, 
145.545, 111.775, 118.477, 154.251, 97.6787, 67.3896, 84.085, 7.68652, 6.15723, 5.5625, 1.70117, 26.5615, 51.9922, 64.7607, 88.584, 24.1455, 44.8447, 74.8447, 148.226, 150.248, 
142.782, 91.3945, 103.291, 151.133, 95.0352, 56.3125, 59.7998, 4.53223, 7.35254, 4.42969, 5.85254, 21.3428, 44.0723, 70.4521, 86.8643, 24.6064, 48.4131, 69.7559, 141.924, 148.372, 
132.696, 91.1592, 86.0127, 142.871, 95.9404, 46.2588, 52.1123, 15.9463, 7.33691, 3.85938, 7.83398, 30.876, 49.6914, 85.1309, 93.0361, 60.6221, 59.5752, 71.6533, 136.98, 146.029, 
68.5547, 125.466, 116.438, 131.093, 101.203, 41.1396, 46.3369, 12.6631, 5.64258, 3, 4.00195, 32.5078, 50.2666, 80.5117, 92.8887, 65.8486, 57.5176, 82.6826, 131.853, 142.309, 
